,coefficient,f_score,p_value,statistic
0,0.22690232932385676,164.09557431879298,1.3155580991927268e-29,GS
1,-0.0195927320128447,115.58954851925806,1.2272026716596163e-22,MP
2,0.19119358898264283,120.8685871036197,1.9401039764624322e-23,PER
3,-0.13175121784677069,5.79237600931268,0.016775237865038442,TRB%
4,0.020778211768932825,34.16398778641985,1.4727404416502075e-08,AST%
5,-0.017099984858278516,3.0392991854318003,0.08242207518834335,STL%
6,-0.10374103324312364,0.6026060060534966,0.43827254611276567,BLK%
7,-0.0005412709611090083,0.8983661066067338,0.34407724528382144,TOV%
8,0.44920388379424686,348.20263993412635,2.6059523908766803e-50,WS
9,-0.11319496390655373,12.459238720010037,0.0004896738151120238,FG%
10,-0.05274640885306567,0.9637390405216805,0.32713532745066976,3P%
11,-0.010609841021737159,10.523273421878883,0.0013289031677095275,2P%
12,0.0977934959303419,241.77865642609993,2.9222374807994104e-39,FTA
13,-0.021278626793370364,11.463593933691698,0.0008164763783759209,FT%
14,-0.018787477728454224,217.24248504746367,2.2066436275222272e-36,PTS
15,0.03683273986317903,2.8178804553406804,0.0943893455517109,height
16,0.10984290869424637,5.266552957727491,0.022514975090605405,weight
17,0.18222323602846088,40.28033167545264,9.391737018426593e-10,years_played
18,-0.007548632070997055,6.364294844072253,0.012225397595853631,mvp_MVP
19,0.007548632070997034,6.364294844072256,0.012225397595853631,mvp_Not MVP
